# 未使用数据(仅供参考，非批次文件)
# 这里是当前剩余、尚未进入任何批次的评论。
# 每次运行 01_sampling_data.py 后本文件会被刷新。


[ID:gfvudsasvg] [rating:1] 一个把正版禁止入国盗版抄袭还弄不好的游戏.可笑至极,光你那摆摊管理都搞不好,

[ID:aale……] [rating:1] 差评游戏.一个体验感极差的游戏,你要是打擂台,别人可买人一起举报你,你就能被举报的无法玩,甚至有内部人员插手干扰游戏公平性,是一款内部游戏,不建议玩

[ID:太生气不想起名字] [rating:1] 垃圾游戏.这游戏从4.11开服就开始玩了,都快一年了,策划也不知道搞个自动神行找擂台的功能,出了神灵还不能挑战擂台,这公平吗.打个游戏为了点擂台天天有人刷喇叭吵架,这游戏怎么还不下架呢

[ID:肉山小魔王大人] [rating:1] 官方刷分真是恶心了.官方刷分真是恶心了.

[ID:小蚊纸Wendell] [rating:1] 垃圾策划.靠,这破游戏.新出的扭蛋机,整了几次连抽,居然一个乾坤袋都不出.还整毛线幸运值,难道一百多的幸运值,只是用来看的嘛.垃圾

[ID:tt猪] [rating:1] 误封.乱抢摊位不封就封那些正常玩的玩家.刚开始玩第二天直接被封10年你敢信.不想让人玩就下架啊,这么多误封干脆所有账号都被封算了

[ID:豪门老九] [rating:1] 垃圾游戏.被举报就封号.不换你是不是正常玩家,只要被举报了,就封号

[ID:吃土的骚年] [rating:1] 祝早日关闭.全是开挂玩的,普通玩家游戏体验极差,不建议入坑

[ID:迟遇，] [rating:1] 外挂成群举报没用.服了擂台挂飞机挂举报都不带封的恶心

[ID:清明上河图7] [rating:1] 垃圾.从一级到四十级自己没抓到过一只满资,概率太低了

[ID:U盾就行可是可是你是] [rating:1] AR呢..你就告诉我AR呢...AR手游没有AR.然后现在所有的主力妖灵全是一万米灵石限定的,而要灵石能摇多必须得买换灵器,一次性用品.策划吃相难看

[ID:皇龙帝天] [rating:5] 喜欢.喜欢这类型的游戏.宠物也好看.大爱

[ID:一个被坑的小萌新] [rating:1] 挂羊头卖狗肉的乐色,好像不适合不开挂的玩家.从开服到现在也算老玩家了,时间越长越感觉是个笑话,以AR做卖点的游戏没有AR,在疫情阶段依旧鼓励外出步行还有这个恨的牙痒痒的概率满资娇娜还能说得过去,满资咸鱼我就TM……卖都卖不出去

[ID:只爱闹闹] [rating:5] 陪伴.作为抓妖最早一批411玩家,现在来说可能有点迟.最早接触的时候一个人17岁在1852.1公里外的地方自己打拼,受尽了苦难,唯独抓妖陪我,每天下班放松,陪我旅行,经历一切,后来回来就退游了.不过现在从新玩起来,满满的回忆.希望可以出点句芒之类老御灵的活动.

[ID:宇智波桦 波风水门四区] [rating:1] 游戏乱封号,挂又多,别入坑别充钱.封号无底线,正常玩都不行

[ID:被梦遗弃的禽兽] [rating:1] 垃圾游戏.费钱费时间就算了,关键官方还垃圾.

[ID:ss166600] [rating:1] 这游戏无故封号.刚下载三天,怎么玩都还没摸清,想着是腾讯的游戏,就习惯性充钱了,结果充完还没几个小时就被封十年,说非法游戏,我连怎么玩都没弄清就非法游戏了,客服申诉给的回复是我们不会无故封号,好好想想你的所作所为.厉害厉害

[ID:gajskskeme] [rating:1] 这是瞎走动的时候吗.不愧是大公司的游戏,疫情期间,这个以运动为噱头的游戏,还是鼓励您走出你的屋子,策划是真心大啊,你能负责吗.游戏中精灵必须行走遇见一次,才可以神行捕捉,我是服滴哦,这不是挑唆我出去吗,哈哈,我就笑笑吧,策划你真行,棒棒哒.还有就是概率问题,我是从他开服就玩的玩家,满资基本没有,而且爆高资挑冷门的爆,这尿性也没变过,还是请策划自己看看吧,以前是多少人参与的游戏,不说别的,就连摆摊也要抢,现在啊,就寥寥无几的几个摊位,真成功呀,完美的把自己弄没戏了.再次感谢策划的倔强,让如此新颖的项目,搞得无人顾问.

[ID:深夜发怒] [rating:1] 脑残策划.真是个脑残游戏,脑残策划,刚上线半小时就被封号,一点游戏体验感都没有,弃游.

[ID:我是安东的] [rating:1] 垃圾游戏.昨天刚玩,今天充了钱,然后莫名奇妙登录不了,说我有非法游戏行为禁号10年,玩家体验我不说什么,充钱需谨慎,真是坑爹游戏,找客服游戏上客服还没有这项投诉,也没有人工客服电话,相关的网络部门真的要加强下管理网络游戏这块了,尤其是这种垃圾的骗钱游戏.钱被坑了,精力花了,都没地方申诉,真的垃圾.

[ID:崔哥＂] [rating:1] 抓妖打擂无业游民.一起来抓妖这款游戏是非常不错的,本人目前48级游戏内经常打擂台不多说话,无视有些玩家（被打擂各种问候,粗口,影响游戏平衡,）奉劝各位新手不要下载

[ID:宾服] [rating:1] 垃圾游戏.不用外挂也被封号垃圾游戏赶紧倒闭

[ID:6452586555885668] [rating:1] 圈钱第一娱乐丝毫不考虑.就会圈钱骗人游戏做的💩一样

[ID:....路人] [rating:1] 差评.我前天才下的捉妖,玩了2天,刚刚登上去说封号10年,我很莫名其妙,这是我第一次被封号,我没有开挂,言论不当,挂机是因为我玩的太久被封了吗.希望腾讯给个说法,谢谢

[ID:lnxp1214] [rating:5] 登录闪退,刚能看见人物就闪退,ios.13.3怎么解决.登录闪退,刚能看见人物就闪退,ios.13.3怎么解决

[ID:夺命小鬼] [rating:5] 更新太慢了.新版本更新速度太慢了,是手机版本淘汰了嘛

[ID:彼岸花少爷] [rating:1] 没有ar系统.首款ar探索游戏...我就想问问你你什么时候能把ar系统打开...就刚开始两个月出ar然后就给关了,也不知道是什么意思..

[ID:捕捉你的笑] [rating:5] 喜欢所以拥有..五星妖灵没有的朋友很多,建议腾讯游戏可以返厂和培养.

[ID:恶之光] [rating:1] 一手王炸打的稀碎.本身是款好游戏被运营商和工作室玩凉了

[ID:9d1f73] [rating:1] 飞机定位的游戏..这游戏不平衡,没有区分,只有先玩游戏的人得利,飞机定位满天飞,一点都不好玩.

[ID:nfjdjxnn] [rating:3] ..玩的人年纪偏大.还老在频道里面吵架还不能屏蔽

[ID:美起床了] [rating:1] 捉妖变成玩举报,脑残策划.捉妖变成玩举报,脑残策划.哪个圈子的人举报积极,举报人够多就赢了……策划不是脑残是什么..好好的游戏搞成这样……

[ID:Myarde] [rating:1] 游戏凉了,全是捞钱.空军陆军,嘉年华事件,还有520猫,呵呵,更新活动千篇一律,没有没有新意,全靠最后换皮捞钱

[ID:iyuesms] [rating:1] 策划脑子不太好.我家旁边就有一条高速公路,我登游戏提示我高速公路不能玩...关键还取消不了,我服了

[ID:纳兰花颜] [rating:3] 为什么一直闪退.本来玩了很久的游戏有一段时间就进去又退出来一直闪退

[ID:各种闪0000] [rating:4] 希望给我提高点概率.天天200不截图给这是闹哪样来点截图吧逼我退游

[ID:不推荐下载.........] [rating:1] 不要下.一个好好的游戏,全是氪金要素,都不知道是氪金还是玩游戏,不推荐第一次玩的人下载

[ID:捉妖策划司马了] [rating:1] 还没关服啊.就这破游戏坚持到现在蛮不容易的,大家还是去玩王者吧,这游戏动不动就给你封号的,就是不让你玩,嘿嘿.

[ID:鵷鵮豈曉鸱鹛誌] [rating:5] 最喜欢的游戏.特别喜欢这种捉妖的游戏,每天捉不够的感觉,每当捉到好资质和满资质就开心的不行不行的,感觉永远玩不腻的感觉,而且每天可以让我这个懒人有充分的借口和兴趣出门溜达.最棒的游戏,希望不要放弃继续努力.我们一起努力,让我抓到更多的满资质妖灵.嘿嘿😁

[ID:我爱你3000遍] [rating:5] 为了让大家和策划看到.目前新冠疫情,没法玩啊各位.但是有不少因为这个打差评的我看不下去了,游戏是比疫情早的兄弟们.还有外挂已经好多了.

[ID:改名有满资] [rating:1] 外挂泛滥也不封号.多次使用外挂的号举报了也不封号是真怕游戏没人玩了吗.直接劝陆军退游了.

[ID:大神5206] [rating:5] 我为什么进不去..我进去时就一直卡着这是为什么...

[ID:jingyulovemz] [rating:1] 游戏严重违反国家没事不要出门的号召....这游戏按着目前新冠情况根本没法玩...要玩就是和国家号召作对...

[ID:消香] [rating:5] bug太多.垃圾游戏.刚开始觉得还不错,之后一直没弃坑,最近bug太多,团战都没法打,实在不行我就弃坑了,垃圾.

[ID:辉辉辉520520] [rating:1] 垃圾游戏.大家别玩了,里面的人全部开挂,而且举报系统也是垃圾来的,举报别人不封号,别人举报立马封,腾讯迟早倒闭

[ID:星空坠落202] [rating:1] 讨厌.官俸,这个游戏太讨厌了,我好几次都没有用,都是进不去.

[ID:失望者的失望者] [rating:1] 空军太多,客服不给力..举报多次无果,都是空军,让陆军怎么玩.举报还没用,一点效果没有.果断卸载.腾讯游戏就是坑.啥也不是.越来越垃圾.

[ID:O0火爆猴o0] [rating:5] 太好玩了.太好玩了,这个陪在我身边2年的游戏真的是越来越好了

[ID:短脖子长颈鹿c] [rating:4] 一个从开服的老玩家讲俩句嗷.希望游戏真的是从好玩出发让玩家充钱,像什么月卡啊笔记啊我都有充值,这个游戏要多为新玩家考虑,不要一味为了赚钱不在乎游戏本身存在的问题游戏最大的弊端就是对新玩家不友善,像之前的五星神灵时间boss新玩家只能靠着老玩家星移才能开图鉴,能用不能用的都不说.我有个想法其实可以做一些擂台投票选神灵比如大家选了巨芒在一小时以后或者规定时间出巨芒平时正常出这个时期的五星神灵这样之前五星神灵返场也对新玩家是很好的.还有我想说哈,这个青女未免时间太久了啊.之前五星神灵都存在一个月左右,每天买票一天打四次都不够升级一只的符印还要无相符印来凑才够,这次倒好青女每天一张免费票符印都快够养第二只了,差不多换换神灵了.光指着老玩家赚钱能有多少老玩家也在不断退游,没有新玩家的加入早晚凉凉.

[ID:Jeacity] [rating:3] 专属猫异常.都说领养专属猫服务器异常了,那就不领了,为什么登一次软件就跳一次剧情,还回答一遍养猫的问题,回答了十几次了,再回答几次只能卸了

[ID:信息的芳菲] [rating:5] 现在不让出门.现在病毒不让出门这游戏怎么玩.

[ID:椰椰椰星人] [rating:1] 辣鸡游戏.一个月不出一只高姿,配几十次猫,没一次成功,辣鸡游戏

[ID:dgxje] [rating:1] 前期外挂满天飞不闻不问,现在祝贺凉凉.——举报.他开挂——证据呢.——举报.他开挂,这是证据——好的,但你游戏内举报我是不管的.——腾讯客服,举报.他开挂,这是证据——好的,封他3天

[ID:旧梦的内容] [rating:3] 411的玩家.给你三分是真喜欢这个游戏,刚出来的时候天天和几个人一起玩,一天能玩十个小时,自从游戏里出现了飞机,导致了很多不公平,从几个人到现在自己,现在😄46,策划你们在天天干嘛,不检测任何疏漏的吗,白拿工资的吗,多好的一个游戏,原本以为可以大火的游戏,再见了一起玩的伙伴,那段时光很快乐.

[ID:A暴走肉肉] [rating:1] 闪退.游戏刚出的时候用5S玩都不会闪退,玩了差不多10个月就开始逐渐闪退了,第一次就20分钟左右,之后就开始慢慢的频繁了,现在换台6也开始闪退了,每次神行几分钟就闪退一次,有时候直接闪退,闪退是意味着这游戏开始凉凉.

[ID:毕胶姿] [rating:5] 游戏为抗疫作出了贡献.这段疫情的时候,不能外出,不能串串门,好在有妖灵的陪伴,才能愉快地度过

[ID:孙小翰666] [rating:1] ...老玩家的数据为什么会被清掉……十几个高资一个满资还有好多好多限定,全没了,出来给个解释不解释就是nm差评

[ID:激动的狗] [rating:1] 无.希望以战斗为主题,多一些战斗玩法,本来就是竞技类游戏,把宠物养成了没有用武之地有什么用.还有就是建议把经验系统改制,设计一个通过打斗来捕捉妖灵的机制,同时参战妖灵可获得经验

[ID:111uu各路] [rating:1] Ar玩法不见了.设置里没有开启ar玩法选项,只有ar分享选项.有没有人管.

[ID:大骂抄袭狗] [rating:1] 抄袭Pokémongo无耻.整个游戏界面,玩法,设定几乎照搬Pokémongo.真当所有人都没玩过原版嘛.腾讯无耻.

[ID:武汉人民加油] [rating:5] 休闲娱乐好手游.妖精形态万千,玩法乐趣十足

[ID:飞羽幻梦] [rating:1] 巨卡,老掉线.巨卡,老掉线,连在线三分钟都做不到,什么玩意儿啊

[ID:ZYTVD] [rating:3] 打开app的音乐声音太大了.每次点开游戏,背景音声音太大,安静的环境中吓一跳.

[ID:一起退游吧] [rating:1] 垃圾游戏.天天充钱都封号,垃圾游戏垃圾游戏

[ID:emufannnn] [rating:1] ..为了玩这个破游戏,手机删了很多应用,空出3G多,下载完游戏加载着说我内存不够.一反馈就闪退

[ID:逃之煜杰] [rating:5] 超爱～.喜欢这个游戏,每次捉到满资的,就跟获得宝贝一样～开心～祝一起来捉妖游戏部的全体人员新年快乐～

[ID:爱范♈️] [rating:1] 无缘无故乱封.辣鸡游戏,随意封号充钱喂狗

[ID:微信是个傻子] [rating:1] 管不住外挂的公司没有资格做游戏..对外挂,虚拟定位的飞机党简直束手无策,或者说开发者跪舔高端玩家,当然毕竟人家是赚钱来的.恶俗.

[ID:李睿伶] [rating:5] 很棒的遊戲.等俺畫畫練好了我就來畫同人1551

[ID:周周小作] [rating:3] 内存.这个游戏每次更新内存就站很多我都要删除两三个app关键是这都是工作需要呵呵了

[ID:夕阳有诗情丶] [rating:1] NMMP.垃圾,巢穴妖灵凭啥不能神行捉,玩个游戏还这么多限制,CNM

[ID:512612723] [rating:1] 垃圾游戏,关门倒闭.垃圾游戏,你他妈有什么概率可言.同样付出时间精力,金钱,你反馈给玩家的是什么游戏道具.垃圾,一堆垃圾,给的游戏币获取渠道单一,游戏内道具别人出极品,我专门捡垃圾.垃圾游戏,倒闭吧

[ID:不向不向] [rating:5] 更新能不能不要超过200M啊啊啊啊..照顾一下苹果用户的体验好吗.狗苹果200M以上就必须连WiFi才能下载,弃游了..,

[ID:还好吧你们] [rating:1] 垃圾游戏天天封号.可以改个名字叫一起来举报了,不管充多少,举报就封号,就算没开挂也会误封,垃圾

[ID:J.Runn] [rating:1] 频繁掉线,外挂满天飞.更新后频繁掉线,一掉线就回到登录页面也就罢了,安卓用户几乎没有不用挂的,几乎每个人都有小隐大师之类的定位外挂,而且根本没人管,就这样慢慢外挂的游戏还能玩.玩个球

[ID:倾奈何做贼] [rating:3] 封号无底线.举报人多就封,好好一个游戏被ch玩死了

[ID:浪流连来满资。] [rating:5] 一起来捉妖吧.这游戏真好玩,很有意思,玩了这游戏不出门都不行了,挺有趣的

[ID:凡仙小冰霜雪] [rating:5] 学生党的救星.非常好玩更新很快就是开始很慢本学生党表示5星好评举双手赞成谢谢你的陪伴我会站在你背后一直支持你

[ID:一起来捉妖系统闪退] [rating:1] 闪退.更新之后闪退太严重,手机黑屏再打开也得重新登录,返回去回个信息再上,也得重新登录,真的是醉了,果断退游.

[ID:老猫同学] [rating:1] 更新之后疯狂掉线.每一次每一次每一次熄屏再回到游戏都要重新授权,每一次从后台回来都要重新授权,每一次掉线都要重新授权,我授你🦄️批权授权

[ID:👿？？] [rating:1] 垃圾游戏.本来就玩的人少了,圈钱也就算了,定位抓妖被封你也是牛逼,你行你厉害

[ID:店大欺客投诉无门] [rating:5] 这游戏封正常玩家号,我愿为这句话负法律责任.没有用虚拟定位,没有用摇步器,什么都没有做,正常玩游戏,打第二个擂台的时候突然告知被举报封号三天.我三天内绝对,绝对没做任何作弊行为.腾讯游戏可以这样随便封人号,还没反映渠道,腾讯游戏店大可以欺客我也能理解,投诉也无门,当然我也不想玩了,也不敢要说法,毕竟这么牛,游戏方想怎么样就怎么样,比黑恶势力还让我害怕.我愿意为我这些话负法律责任.我这样的小玩家,就是个蝼蚁,不配玩腾讯游戏这游戏封正常玩家号,我愿为这句话负法律责任

[ID:哎哟喂聪] [rating:1] 垃圾游戏.只要一切换屏幕就掉线,搞笑的游戏

[ID:路易斯曾] [rating:1] 已经没有人管了吗.不知道是我手机有问题,还是游戏的问题,我没吃登陆都要授权登录,手机黑屏马上掉线,哎,这是逼着我退游吗

[ID:你高傲的欧巴] [rating:1] 游戏体验十分差劲.不知道这个游戏有没有后台运营,开挂的到处都是,玩法单一,而且用户大部分都是十三四岁的儿童,素质还有待提高.举报更是石沉大海.

[ID:BBD2016020110382121] [rating:1] 垃圾游戏,不花钱连团战妖都抓不到,已弃游.垃圾游戏,不花钱连团战妖都抓不到,已弃游.到处骗钱

[ID:巴鲁大大] [rating:1] 恶意封游戏玩家.恶意封游戏玩家,他们这个系统核查也不知道怎么做的动不动就封玩家

[ID:佛教来咯浏览器，啦啦啦] [rating:1] 垃圾策划.垃圾策划吃相难看,连评分都是刷的,评论一摸一样.

[ID:momsnhouen] [rating:1] 差差差差差差差差差差差差太差了.差差差差差差差差差差差差太差了

[ID:鹌鹑鹑鹑鹑鹑] [rating:2] 不公布概率,对玩家不友好.高姿获得的概率不公布,对这种看运气的游戏来说是最大的缺点,消磨时间还可以,但消费就算了吧.

[ID:哪路向北] [rating:1] 乱封号呵呵.乱封号的问题刚开始还能肝动后来越来越氪金了

[ID:獨行&易拾光] [rating:1] 一个满资.给你一星不仅仅是因为我这么辛苦就只有一个满资,更是被游戏难看的吃相恶心到了,笔记根本没用,放那还碍眼,动不动闪退,是苹果手机不行了吗.还是你不想好好做游戏.

[ID:梨九] [rating:4] 除了策划太垃圾外..人挺好的....除了策划太垃圾外..人挺好的...

[ID:噗噗家胖胖] [rating:1] 新版本游戏在更新ios到13.3后每次登录都要重新授权.新版本游戏在更新ios到13.3后每次登录都要重新授权,简直了

[ID:小一果酱] [rating:1] 漏洞太多.打个擂台,好像一个个都是自己家开的一样,一群群小学生素质,举报也不管,这样的难道不应该封号吗.别人在别的地方登录我的号就锁头,开挂倒是查不出来,天天的干的什么事啊.交易市场严重失调,市场价一直被压低,逼迫别人充钱买钻石,级别越高东西越少,供不应求很严重.希望可以把擂台改了,别让他们天天跟守着传家宝一样.还有严格查好别人的投诉,人不会无缘无故的投诉,该封号封号,还有偷擂台的情况一直有,这个行为多不道德啊,希望可以把这个问题解决一下.什么游戏,设计一堆不合理的,外挂满天飞.现在合区了更是,就是为了捞钱呗,谁玩谁难受

[ID:zodiacli] [rating:5] 好游戏一起来捉妖.非常有趣的一款休闲游戏

[ID:佩琪的弗雷德] [rating:3] 更新后有很多bug.昨天更新完我就发现邀请好友上线这个根本邀请不了.一锁屏或者切换后台就会掉线而且游戏杀后台每次登录都需要QQ认证很麻烦莫名其妙掉线垃圾

[ID:肖泽亮] [rating:1] ..我的苹果系统微信和qq怎么没合物品都在

[ID:ghvhhjuhvkbjcneszhk] [rating:1] 垃圾服务器.刚下载好游戏点进去一直挂在加载界面,你做锤子的烂游戏.cao

[ID:隔壁的老王哥] [rating:1] 垃圾运营,无故封账号..3天没上线,上线就莫名其妙封3天,一天抓15个妖,也能判定为开挂.垃圾.

[ID:韵韵2222] [rating:3] 12月20日新版本多bug,直接无法登陆.直接无法登陆,已经更新最新版本,还让继续更新才能登陆

[ID:大迪奥萌妹] [rating:1] 闪退,.闪退,再进游戏提示版本过低,白天三点更新后都玩了一下午了,到晚上你给我说版本过低.到苹果商城也没有更新键点进入还tm提示标本过低.

[ID:懵kun] [rating:1] 建议换策划.第一次见游戏竟然可以说话不算话,而且bug一堆,未入坑的请珍重.玩了半年我都觉得神奇

[ID:天天捉妖] [rating:2] 更新一天就玩不到游戏.昨天更新好游戏还能玩,现在说客户端过低,气死人

[ID:浅笑倾羽] [rating:1] 真的太垃圾了.什么天马行空的思维,策划你怎么不想你妈死了,合服.微信区合到QQ区,物价涨了几十倍,QQ区不要玩了,真的太垃圾了,你怎么不想你妈死了,玩了那么久涨的钻石,一合服连一个满资都买不起,真的搞笑,你怎么不想你妈上天了呢.

[ID:累不不] [rating:1] 投诉.新版本闪退给我个交代我是手机是苹果xr

[ID:ioesun] [rating:1] 更新以后根本进不去游戏闪退.辣鸡.更新以后根本进不去游戏闪退.辣鸡

[ID:小烧猫] [rating:2] iphonexr闪退.今天更新后,出现闪退,ios12系统,擂台全被抢了,也太不公平了,这种游戏方真应该反思,没弄好就提前开放

[ID:刹那13456788] [rating:5] 信用有啥用..能不能把信用去掉,玩的时间少了.就连擂台都打不了.有必要吗.

[ID:无法科可讲] [rating:1] 无限闪退游戏都进不去.无限闪退更新后进不去xsm

[ID:颜永知] [rating:1] 垃圾游戏.玩了大半年,越来越坑无限坑钱,周围退游戏的人也越来越多..

[ID:大只佬就系我] [rating:2] 问题还是有的.飞机师太多了,各种定位各种挂,平衡性就不行了.其次,误封几率很大,我有个朋友连续被误封直接弃坑了.

[ID:拉Nika] [rating:1] hehe.shuangbiaoyouxi

[ID:还我一片擎天] [rating:1] 建议.能把星移和养成的过场动画去除吗.简直浪费大家时间,游戏体验太糟糕..星移能不能批量的了..

[ID:真·三十二] [rating:5] 资源不够用.游戏是个好游戏,但是飞机是在太多了,没有飞机玩起来太难了,作为一个手动挡玩家,现在天气这么冷,外出敲鼓抓妖实在太难了,能不能平衡一点,不然像我们这样的手动玩家,就靠着神行,想要攒资源实在太难了

[ID:奶昔草莓] [rating:1] 外挂飞机毁所有.游戏刚开始确实是不错的,一玩停不下来.只是后来外挂横行,飞机满天,工作室充斥着游戏,已经没有了游戏的初衷,一个个陆军相继弃游,游戏己名存实亡了

[ID:贺嘻嘻] [rating:1] 策划脑残几颗星了..只能用一星来评价这个游戏的体验感,好不容易又一款这个类型的手游,策划后期做成这样.星移概率越来越低.拒宅日越做越垃圾.后期就不看用户感受呗.

[ID:钟意Fairy] [rating:1] 在日留学玩不了..未解锁东京的地图我太难了

[ID:钥匙圈存取款机] [rating:1] 什么时候才能看到在美国这边也能玩这游戏😟😟😟.😷

[ID:不知道出不出32] [rating:1] 10千米的灵石妖不停的重复开,前五的一个都没有.灵石开的都是重复不停开过的妖

[ID:撒哈哈111] [rating:1] 额.还好,就是外g太多了,游戏人气也没了

[ID:我的名字不需要知道] [rating:1] 坐着还会一直显示请远离高速公路.个个地方都有马路啦尤其是坐着还会显示请远离高速公路是不是要去大山玩这个游戏就不会有这么多问题了.

[ID:如果可以设置几种主题就好了] [rating:5] 灵石.玩了这么久这个游戏希望看到我这么用心的份上送我一个金零我开石头真的没少花钱拜托了

[ID:时尚不过时] [rating:1] 真是越来越辣鸡.最开始还觉得不错,玩了很久充了点钱,现在呢已经2个月没玩了没更新了,制作团队为了节约时间减少成本对付玩家唬弄玩家,都是画出来乱七八糟宝宝然后让你去合成,一堆合成宠物,然后玩家就要不停重复去做一些事情.真可怕.这样下去觉得要很快死掉了.姑且看看以后变化.期待太高反而失望.偶尔上去看看老版本的宠物吧

[ID:垃圾策划 策划] [rating:1] 一帮飞机天天飞着打也不封.一帮飞机打擂台也不封

[ID:类似于诈骗赌博，不一样的是，不会强迫你赌] [rating:5] 我.在陪你一会儿子弹幕后面🍜MSN邮箱登录的话说,你们的话说,你们的话说,你们的话说,你们的话说,你们的话说,你们说了,.

[ID:认定王者] [rating:1] 没有ar功能.我是苹果7,玩了几天了根本没有ar功能,既然说是ar探索游戏不是搞笑吗.只是个噱头,骗人的

[ID:林逸（继续努力）] [rating:2] 外挂太多,严重影响游戏平衡.这个游戏是靠户外捉妖,步行开灵石,敲鼓让自己变得更强.我在刚出这款游戏的时候开始玩,那时候是夏天,每天在外面晒着太阳流着汗在外面找妖,敲鼓,开灵石.我玩了将近五个月,那时候外出拿手机已经开始冻手了.身边有几个大佬,他们都是安卓的,每天都是300妖,500个鼓.每天灵石开到上限,天天步行50公里,后来问了原因都是开挂,那个挂叫什么幻影.人在家里躺着半小时,赶得上我在外走路六小时的了.想到自己肝了半年,从被晒到受冻.心里真的不是滋味,后面人玩的越来越少,并且还有人说这游戏开挂不是很正常吗.现在哪有不开挂玩的.虽然官方嘴上宣传是打击外挂,但是我想说一天,三天真的很少,一点不影响人们解封之后继续开挂.我不是说公平不公平,我氪的金也不少,起码小一千块了,这个游戏太让我伤心了,以后不会再碰这种充钱了还打不过开挂的垃圾游戏.

[ID:duxdbfdjtd] [rating:1] 不开挂还是别玩了..这游戏不开挂玩不下去,真是垃圾游戏,当然本人也开挂,不过能拿我怎么样,哈哈

[ID:你哪只几个] [rating:1] 真实玩过的玩家不会给出超过1星.5星好评都是拖,垃圾游戏

[ID:聂小倩777] [rating:1] 垃圾游戏.我在这款游戏体验到了深深的侮辱感,感受到了网络暴力的可怕.id：23234170510名字为BKB♚Nevermore连续一个多月对我们圈女性谩骂传播黄色信息.包括私聊侮辱性言语.换一些黄色谩骂头像,擂台留言进行人身攻击.我们一直举报却得不到一个好的解决.回应我们说是禁言一个月,禁头像,可笑的是擂台谩骂还在继续上演,也并没有被禁言,还是能说话,我感觉到了深深的失望,无望,一款游戏失去了绿色公平的环境,我不知道该拿什么来热爱

[ID:胖次男神] [rating:1] 锁头锁头锁头.不想说了,垃圾游戏早点倒闭吧

[ID:fhcjksownnfk] [rating:1] 不好玩.外挂太多玩家太少.而且游戏设计对新人不友好.

[ID:ConanW0106] [rating:1] 很垃圾的游戏.正常玩游戏,你网不好也会被封号,找客服也没用,客服说是你自己的问题,也不会帮你解决任何问题,体验感很差,五星好评都是假的.

[ID:17468:6] [rating:1] 一起来封号.游戏做的极滥,玩法太少,而且只有开挂才能玩,不开挂的就给你封号

[ID:滕王阁百爪挠心可] [rating:1] 检测机制混乱,想一出是一出.只知道圈钱,想一出是一出作弊检测系统混乱

[ID:朱氏仙女] [rating:3] 有点不满..官方能不能解决一下闪退的问题啊🤯🤯

[ID:小老弟你跟我两搁这扯犊子呢？] [rating:3] 想要情怀不只是模式.游戏是模仿宝可梦go的,说实话刚开始把它当宝可梦go玩,但是没有情怀支撑很快和大部分人一样觉得乏味,再加上模式的限制,很快就都修仙了

[ID:Yilineko] [rating:1] 抄袭.这抄的不是pokemongo.....宝可梦两年玩家惊了

[ID:EunJung恩静] [rating:1] 这游戏根本没法玩.这游戏三天两头就封你号,不管你陆军空军,全部封,这游戏没想到这样短命,刚刚开始还不错,玩着玩着就游戏开始变质,打擂台打着打着人家能买举报让你封号,这封号不是3天这这么简单,还可以连续封你1个月,一直封你3天,这游戏干脆改名叫“一起来举报”算了吧.

[ID:lwp^_^] [rating:1] 神行打擂台封号.这个游戏神行打擂台封号.干脆叫一起来封号算了

[ID:zffghc] [rating:1] 垃圾资质也是截图.全是瘸腿也截图还超高.

[ID:怒凤] [rating:5] 为什么没有满资..为什么现在满资概率这么低啊.我就

[ID:策划人的爸爸] [rating:1] 游戏是好游戏.垃圾,策划脑子有问题,有体验,平民封号真好

[ID:小歪123654977] [rating:5] 位移精灵iOS系统.需要位移精灵的请联系微信157576184,长期稳定发货,有保障

[ID:妹只是个小说] [rating:5] 满资游戏.很好玩的游戏,来多几个满资就好了

[ID:弃游吧，太难了] [rating:1] 策划6.策划好坑,10KM灵石和2KM灵石开一样的妖灵,那走10KM意义在哪里

[ID:吃秃几的萝北] [rating:1] 辣鸡游戏.辣鸡游戏,不管是策划还是客服都是敷衍

[ID:🍬茕茕白奶糖] [rating:1] 游戏根本打不开.快20个G也一直提醒内存不足,我是不知道这游戏要多少内存能玩

[ID:垃圾策划10086] [rating:1] 无奈.别让开着外挂满天飞都可以,我们小众玩家神行打个擂台要被锁,策划你们还是抱着你们父母舔吧

[ID:卷卷夜夜也] [rating:1] 毫无游戏体验.原住地神行打擂直接封.还能不能打擂台,开发玩法少,引导玩家内心争斗,恶意举报邪恶面.

[ID:rgccfg] [rating:1] 这游戏垃圾恶心的要死大家不要下载.这游戏垃圾恶心的要死大家不要下载

[ID:凤凰戟] [rating:1] 一起来广州.这个游戏改名叫一起来广州是最合适的.宣传画是广州.活动也只做广州.外挂满天飞.百分之九十的玩家都在用外挂.举报了没用,好不容易举报封一次也就三天三天后又是一条好汉,继续用外挂.大家快来围观呀.

